IdParada,IdCarrera,IdPiloto,Parada_Nro,Vuelta_Nro,Tiempo,Duracion(ms)
1,841,153,1,1,17:05:23,26898
2,841,30,1,1,17:05:52,25021
3,841,17,1,11,17:20:48,23426
4,841,4,1,12,17:22:34,23251
5,841,13,1,13,17:24:10,23842
6,841,22,1,13,17:24:29,23643
7,841,20,1,14,17:25:17,22603
8,841,814,1,14,17:26:03,24863
9,841,816,1,14,17:26:50,25259
10,841,67,1,15,17:27:34,25342
11,841,2,1,15,17:27:41,22994
12,841,1,1,16,17:28:24,23227
13,841,808,1,16,17:28:39,24535
14,841,3,1,16,17:29:00,23716
15,841,155,1,16,17:29:06,24064
16,841,16,1,16,17:29:08,25978
17,841,15,1,16,17:29:49,24899
18,841,18,1,17,17:30:24,16867
19,841,153,2,17,17:31:06,24463
20,841,5,1,17,17:31:11,24865
21,841,30,2,17,17:32:08,23988
22,841,10,1,18,17:33:02,23792
23,841,18,2,19,17:33:53,23303
24,841,815,1,23,17:40:27,23438
25,841,22,2,23,17:40:45,37856
26,841,17,2,26,17:44:29,22520
27,841,4,2,27,17:46:04,24733
28,841,22,3,28,17:49:07,16892
29,841,67,2,29,17:49:47,23100
30,841,2,2,30,17:51:32,25098
31,841,13,2,31,17:52:28,24500
32,841,155,2,32,17:54:21,24192
33,841,20,2,36,17:59:17,24036
34,841,1,2,36,17:59:29,23199
35,841,153,3,35,17:59:45,26348
36,841,808,2,36,17:59:47,25683
37,841,814,2,36,18:00:48,24332
38,841,18,3,37,18:01:49,22681
39,841,16,2,37,18:02:15,23871
40,841,15,2,37,18:03:55,24848
41,841,816,2,38,18:06:53,26446
42,841,17,3,41,18:07:37,26230
43,841,22,4,40,18:08:03,26309
44,841,4,3,42,18:09:08,24181
45,841,13,3,48,18:18:54,24095
46,842,16,1,3,16:09:07,31694
47,842,22,1,3,16:10:04,32978
48,842,17,1,10,16:21:21,22572
49,842,814,1,11,16:23:16,22773
50,842,1,1,12,16:24:40,22552
51,842,20,1,13,16:26:17,23019
52,842,2,1,13,16:26:28,23900
53,842,18,1,13,16:26:29,22400
54,842,13,1,13,16:26:30,29224
55,842,15,1,13,16:27:03,25516
56,842,4,1,14,16:28:15,23152
57,842,30,1,14,16:28:34,22576
58,842,808,1,15,16:30:10,23182
59,842,67,1,15,16:30:23,23280
60,842,3,1,15,16:30:37,24967
61,842,5,1,15,16:30:37,29084
62,842,153,1,16,16:32:25,23584
63,842,16,2,16,16:32:31,22046
64,842,155,1,17,16:33:53,23280
65,842,815,1,17,16:34:14,23597
66,842,10,1,17,16:34:28,24617
67,842,816,1,17,16:34:39,26252
68,842,24,1,17,16:34:56,27815
69,842,22,2,17,16:35:41,24502
70,842,67,2,20,16:39:30,29843
71,842,17,2,22,16:42:37,21991
72,842,18,2,23,16:44:11,22471
73,842,1,2,24,16:45:48,22611
74,842,814,2,24,16:46:20,22419
75,842,20,2,25,16:47:27,21893
76,842,4,2,26,16:49:19,23894
77,842,2,2,26,16:49:31,23221
78,842,13,2,27,16:51:17,22541
79,842,808,2,27,16:51:25,22680
80,842,30,2,28,16:53:26,22261
81,842,3,2,29,16:55:28,22577
82,842,17,3,32,17:00:01,22069
83,842,153,2,32,17:00:55,22888
84,842,16,3,32,17:00:56,22550
85,842,67,3,32,17:01:03,27439
86,842,5,2,34,17:04:41,23336
87,842,10,2,34,17:05:19,24429
88,842,816,2,35,17:07:20,24416
89,842,155,2,36,17:07:26,23442
90,842,1,3,37,17:08:28,25382
91,842,814,3,37,17:09:21,23977
92,842,18,3,38,17:10:13,22483
93,842,13,3,38,17:10:28,22893
94,842,2,3,39,17:12:09,22602
95,842,24,2,38,17:13:32,26554
96,842,3,3,40,17:15:05,22526
97,842,20,3,41,17:15:08,22313
98,842,4,3,41,17:15:25,23812
99,842,30,3,42,17:18:08,22227
100,842,17,4,43,17:19:10,22161
101,842,808,3,44,17:21:08,28694
102,842,4,4,46,17:24:24,27182
103,842,24,3,44,17:25:07,38823
104,842,1,4,52,17:34:48,22466
105,843,153,1,9,15:19:36,22419
106,843,24,1,9,15:20:00,14160
107,843,30,1,10,15:21:12,20522
108,843,17,1,10,15:21:27,23442
109,843,813,1,10,15:21:35,23160
110,843,814,1,11,15:22:57,21989
111,843,3,1,12,15:24:32,20771
112,843,67,1,12,15:24:56,22010
113,843,18,1,14,15:27:59,23779
114,843,20,1,14,15:28:00,21995
115,843,155,1,14,15:28:17,21855
116,843,13,1,15,15:29:47,21624
117,843,1,1,15,15:29:49,20878
118,843,16,1,15,15:30:01,20989
119,843,4,1,16,15:31:34,22524
120,843,815,1,16,15:31:55,21473
121,843,22,1,16,15:32:01,21709
122,843,67,2,16,15:32:19,24722
123,843,10,1,16,15:32:33,22683
124,843,808,1,17,15:33:36,21981
125,843,2,1,18,15:35:28,22216
126,843,5,1,19,15:37:31,22485
127,843,15,1,20,15:39:24,23029
128,843,816,1,20,15:39:50,22901
129,843,24,2,21,15:42:05,24467
